event_name,round,match,team,judge_name,judges_total_score,judge_point
Vancouver,2,1,1MILLION,Stephen Grey,81.0,0
Vancouver,2,1,BROTHERHOOD,Carlos Irizarry,96.0,1
Vancouver,2,1,BROTHERHOOD,Cheyenne Kibblewhite,93.0,1
Vancouver,2,1,BROTHERHOOD,Comfort Fedoke,94.0,1
Vancouver,2,1,BROTHERHOOD,Handy Yacinthe,95.0,1
Vancouver,2,1,BROTHERHOOD,Nicolas Begin,93.0,1
Vancouver,2,1,BROTHERHOOD,Stephen Grey,87.0,1
Vancouver,2,1,JAM REPUBLIC,Carlos Irizarry,88.0,0
Vancouver,2,1,JAM REPUBLIC,Cheyenne Kibblewhite,81.0,0
Vancouver,2,1,JAM REPUBLIC,Comfort Fedoke,89.0,0
Vancouver,2,1,JAM REPUBLIC,Handy Yacinthe,90.0,0
Vancouver,2,1,JAM REPUBLIC,Nicolas Begin,91.0,0
Vancouver,2,1,JAM REPUBLIC,Stephen Grey,78.0,0
