event,date,venue,round,match,team,fan_vote_count,judge,category,score,total_fan_votes
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Staging,7.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Musicality,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Creativity,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Stylistic Athleticism,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Cleanliness,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Technical Execution + Authenticity,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Spacing,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Projection/Communication,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Stamina,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Choreography Complexity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Staging,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Musicality,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Creativity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Cleanliness,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Technical Execution + Authenticity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Spacing,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Projection/Communication,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Chonique Sneed,Stamina,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Choreography Complexity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Staging,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Musicality,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Creativity,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Cleanliness,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Technical Execution + Authenticity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Spacing,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Projection/Communication,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Chonique Sneed,Stamina,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Choreography Complexity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Staging,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Musicality,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Creativity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Cleanliness,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Technical Execution + Authenticity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Spacing,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Projection/Communication,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Jamal Sims,Stamina,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Choreography Complexity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Staging,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Musicality,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Creativity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Stylistic Athleticism,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Cleanliness,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Technical Execution + Authenticity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Spacing,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Projection/Communication,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Jamal Sims,Stamina,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Choreography Complexity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Staging,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Musicality,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Creativity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Stylistic Athleticism,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Cleanliness,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Technical Execution + Authenticity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Spacing,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Projection/Communication,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,LaTasha Barnes,Stamina,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,LaTasha Barnes,Choreography Complexity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,LaTasha Barnes,Staging,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,LaTasha Barnes,Musicality,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,LaTasha Barnes,Creativity,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,LaTasha Barnes,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,LaTasha Barnes,Cleanliness,8.0,2924
